Municipality,Municipal Status,Geographic Area,Website,Agendas Link,Livestreaming Link,Livestreaming Platform,Livestreaming Format,Open License,Non-Municipal Livestream,Non-Municipal Livestream 2
"Otonabee-South Monaghan, Township of",Lower Tier,Peterborough,,,,,,,,
"Ottawa, City of",Single Tier,Ottawa,,,,,,,,
"Owen Sound, City of",Lower Tier,Grey,,,,,,,,
"Oxford, County of",Upper Tier,Oxford,,,,,,,,
"Papineau-Cameron, Township of",Single Tier,Nipissing,,,,,,,,
"Parry Sound, Town of",Single Tier,Parry Sound,,,,,,,,
"Peel, Regional Municipality of",Upper Tier,Peel,,,,,,,,
"Pelee, Township of",Single Tier,Essex,,,,,,,,
"Pelham, Town of",Lower Tier,Niagara,,,,,,,,
"Pembroke, City of",Single Tier,Renfrew,,,,,,,,
"Penetanguishene, Town of",Lower Tier,Simcoe,,,,,,,,
"Perry, Township of",Single Tier,Parry Sound,,,,,,,,
"Perth East, Township of",Lower Tier,Perth,,,,,,,,
"Perth South, Township of",Lower Tier,Perth,,,,,,,,
"Perth, County of",Upper Tier,Perth,,,,,,,,
"Perth, Town of",Lower Tier,Lanark,,,,,,,,
"Petawawa, Town of",Lower Tier,Renfrew,,,,,,,,
"Peterborough, City of",Single Tier,Peterborough,,,,,,,,
"Peterborough, County of",Upper Tier,Peterborough,,,,,,,,
"Petrolia, Town of",Lower Tier,Lambton,,,,,,,,
"Pickering, City of",Lower Tier,Durham,,,,,,,,
"Pickle Lake, Township of",Single Tier,Kenora,,,,,,,,
"Plummer Additional, Township of",Single Tier,Algoma,,,,,,,,
"Plympton-Wyoming, Town of",Lower Tier,Lambton,,,,,,,,
"Point Edward, Village of",Lower Tier,Lambton,,,,,,,,
"Port Colborne, City of",Lower Tier,Niagara,,,,,,,,
"Port Hope, Municipality of",Lower Tier,Northumberland,,,,,,,,
"Powassan, Municipality of",Single Tier,Parry Sound,,,,,,,,
"Prescott and Russell, United Counties of",Upper Tier,Prescott and Russell,,,,,,,,
"Prescott, Town of",Single Tier,Leeds and Grenville,,,,,,,,
"Prince Edward, County of",Single Tier,Prince Edward,,,,,,,,
"Prince, Township of",Single Tier,Algoma,,,,,,,,
"Puslinch, Township of",Lower Tier,Wellington,,,,,,,,
"Quinte West, City of",Single Tier,Hastings,,,,,,,,
"Rainy River, Town of",Single Tier,Rainy River,,,,,,,,
"Ramara, Township of",Lower Tier,Simcoe,,,,,,,,
"Red Lake, Municipality of",Single Tier,Kenora,,,,,,,,
"Red Rock, Township of",Single Tier,Thunder Bay,,,,,,,,
"Renfrew, County of",Upper Tier,Renfrew,,,,,,,,
"Renfrew, Town of",Lower Tier,Renfrew,,,,,,,,
"Richmond Hill, Town of",Lower Tier,York,,,,,,,,
"Rideau Lakes, Township of",Lower Tier,Leeds and Grenville,,,,,,,,
"Russell, Township of",Lower Tier,Prescott and Russell,,,,,,,,
"Ryerson, Township of",Single Tier,Parry Sound,,,,,,,,
"Sables-Spanish Rivers, Township of",Single Tier,Sudbury,,,,,,,,
"Sarnia, City of",Lower Tier,Lambton,,,,,,,,
"Saugeen Shores, Town of",Lower Tier,Bruce,,,,,,,,
"Sault Ste. Marie, City of",Single Tier,Algoma,,,,,,,,
"Schreiber, Township of",Single Tier,Thunder Bay,,,,,,,,
"Scugog, Township of",Lower Tier,Durham,,,,,,,,
"Seguin, Township of",Single Tier,Parry Sound,,,,,,,,
"Selwyn, Township of",Lower Tier,Peterborough,,,,,,,,
"Selwyn, Township of",Lower Tier,Peterborough,,,,,,,,
"Severn, Township of",Lower Tier,Simcoe,,,,,,,,
"Shelburne, Town of",Lower Tier,Dufferin,,,,,,,,
"Shuniah, Municipality of",Single Tier,Thunder Bay,,,,,,,,
"Simcoe, County of",Upper Tier,Simcoe,,,,,,,,
"Sioux Lookout, Municipality of",Single Tier,Kenora,,,,,,,,
"Sioux Narrows-Nestor Falls, Township of",Single Tier,Kenora,,,,,,,,
"Smiths Falls, Town of",Single Tier,Lanark,,,,,,,,
"Smooth Rock Falls, Town of",Single Tier,Cochrane,,,,,,,,
"South Algonquin, Township of",Single Tier,Nipissing,,,,,,,,
"South Bruce Peninsula, Town of",Lower Tier,Bruce,,,,,,,,
"South Bruce, Municipality of",Lower Tier,Bruce,,,,,,,,
"South Dundas, Municipality of",Lower Tier,"Stormont, Dundas and Glengarry",,,,,,,,
"South Frontenac, Township of",Lower Tier,Frontenac,,,,,,,,
"South Glengarry, Township of",Lower Tier,"Stormont, Dundas and Glengarry",,,,,,,,
"South Huron, Municipality of",Lower Tier,Huron,,,,,,,,
"South River, Village of",Single Tier,Parry Sound,,,,,,,,
"South Stormont, Township of",Lower Tier,"Stormont, Dundas and Glengarry",,,,,,,,
"Southgate, Township of",Lower Tier,Grey,,,,,,,,
"Southwest Middlesex, Municipality of",Lower Tier,Middlesex,,,,,,,,
"South-West Oxford, Township of",Lower Tier,Oxford,,,,,,,,
"Southwold, Township of",Lower Tier,Elgin,,,,,,,,
"Spanish, Town of",Single Tier,Algoma,,,,,,,,
"Springwater, Township of",Lower Tier,Simcoe,,,,,,,,
"St. Catharines, City of",Lower Tier,Niagara,,,,,,,,
"St. Clair, Township of",Lower Tier,Lambton,,,,,,,,
"St. Joseph, Township of",Single Tier,Algoma,,,,,,,,
"St. Marys, Town of",Single Tier,Perth,,,,,,,,
"St. Thomas, City of",Single Tier,Elgin,,,,,,,,
"St.-Charles, Municipality of",Single Tier,Sudbury,,,,,,,,
"Stirling-Rawdon, Township of",Lower Tier,Hastings,,,,,,,,
"Stone Mills, Township of",Lower Tier,Lennox and Addington,,,,,,,,
"Stormont, Dundas and Glengarry, United Counties of",Upper Tier,"Stormont, Dundas and Glengarry",,,,,,,,
"Stratford, City of",Single Tier,Perth,,,,,,,,
"Strathroy-Caradoc, Township of",Lower Tier,Middlesex,,,,,,,,
